english_sentence,hindi_sentence
"It originated in the Mediterranean later in Britain, America and.","यह बाद में ब्रिटेन, अमेरिका और में भूमध्यसागरीय रूप में पैदा हुआ।"
"It originated in the Mediterranean later in Britain, America and the.","यह बाद में ब्रिटेन, अमेरिका और में भूमध्यसागरीय में पैदा हुआ।"
"It originated in the Mediterranean later in Britain, America and the rest.","यह बाद में ब्रिटेन, अमेरिका और बाकी में भूमध्यसागरीय रूप में पैदा हुआ।"
"It originated in the Mediterranean later in Britain, America and the rest of.","यह बाद में ब्रिटेन, अमेरिका और बाकी में भूमध्यसागरीय रूप में हुआ।"
"It originated in the Mediterranean later in Britain, America and the rest of the.","यह बाद में ब्रिटेन, अमेरिका और बाकी में भूमध्यसागरीय में हुआ।"
"It originated in the Mediterranean later in Britain, America and the rest of the world.","यह बाद में ब्रिटेन, अमेरिका और बाकी दुनिया में भूमध्यसागरीय में हुआ।"
Moringa.,मोरिंगा।
Oleifera.,ओलीफेरा।
Moringa.,मोरिंगा।
Moringa Oleifera.,मोरिंगा ओलीफेरा।
Drumstick.,ढोल का छड़ी।
Drumstick.,ढोल का छड़ी।
Moringaceae.,मोरिंगेसी।
Moringaceae.,मोरिंगेसी।
Shobhanjana.,शोभनंजना।
Shobhanjana.,शोभनंजना।
It.,यह।
is.,है।
a.,ए।
small.,छोटा।
to.,प्रति।
medium.,मध्यम।
evergreen.,सदाबहार।
or.,या।
deciduous.,पर्णपाती।
tree.,पेड़।
It.,यह।
It is.,यह है।
It is a.,यह है एक।
It is a small.,यह एक छोटा है।
It is a small to.,यह एक छोटा है।
It is a small to medium.,यह एक छोटा सा माध्यम है।
It is a small to medium evergreen.,यह एक छोटा सा मध्यम सदाबहार है।
It is a small to medium evergreen or.,यह एक छोटा सा मध्यम सदाबहार है या।
It is a small to medium evergreen or deciduous.,यह एक छोटा सा मध्यम सदाबहार या पर्णपाती है।
It is a small to medium evergreen or deciduous tree.,यह एक छोटा सा मध्यम सदाबहार या पर्णपाती पेड़ है।
It.,यह।
can.,कर सकते हैं।
grow.,बढ़ना।
to.,प्रति।
a.,ए।
height.,कद।
of.,का।
10,१०
to.,प्रति।
12,१२
meters.,मीटर।
It.,यह।
It can.,यह।
It can grow.,यह बढ़ सकता है।
It can grow to.,यह बढ़ सकता है।
It can grow to a.,यह एक हो सकता है।
It can grow to a height.,यह एक ऊंचाई तक बढ़ सकता है।
It can grow to a height of.,यह एक ऊंचाई तक बढ़ सकता है।
It can grow to a height of 10.,यह १० की ऊंचाई तक बढ़ सकता है।
It can grow to a height of 10 to.,यह १० की ऊंचाई तक बढ़ सकता है।
It can grow to a height of 10 to 12.,यह १० से १२ की ऊंचाई तक बढ़ सकता है।
It can grow to a height of 10 to 12 meters.,यह १० से १२ मीटर की ऊंचाई तक बढ़ सकता है।
It.,यह।
has.,है।
a.,ए।
"crown,.","ताज,।"
typically.,आम तौर पर।
umbrella-shaped.,छाता के आकार का।
It.,यह।
It has.,यह है।
It has a.,इसमें।
"It has a crown,.",इसमें एक मुकुट है।
"It has a crown, typically.","इसमें एक ताज है, आमतौर पर।"
"It has a crown, typically umbrella-shaped.","इसमें एक ताज, आमतौर पर छतरी के आकार का होता है।"
The.,।
roots.,जड़ें।
are.,हैं।
deep.,गहरा।
The.,।
The roots.,जड़ें।
The roots are.,जड़ें हैं।
The roots are deep.,जड़ें गहरी हैं।
The.,।
bark.,कुत्ते की भौंक।
is.,है।
corky.,कॉर्की।
and.,तथा।
grey.,ग्रे।
The.,।
The bark.,छाल।
The bark is.,छाल है।
The bark is corky.,छाल कॉर्की है।
The bark is corky and.,छाल कॉर्की और है।
The bark is corky and grey.,छाल कॉर्की और ग्रे है।
The.,।
branches.,शाखाएं।
are.,हैं।
fragile.,भंगुर।
and.,तथा।
"drooping,.","डूपिंग,।"
with.,साथ।
a.,ए।
feathery.,पंख।
foliage.,पत्ते।
The.,।
The branches.,शाखाएं।
The branches are.,शाखाएं हैं।
The branches are fragile.,शाखाएं नाजुक हैं।
The branches are fragile and.,शाखाएं नाजुक हैं और।
"The branches are fragile and drooping,.",शाखाएं नाजुक और डूपिंग हैं।
"The branches are fragile and drooping, with.",शाखाएं नाजुक और डूपिंग हैं।
"The branches are fragile and drooping, with a.","शाखाएं नाजुक और डूपिंग हैं, ए के साथ।"
"The branches are fragile and drooping, with a feathery.",शाखाएं एक पंख के साथ नाजुक और डूपिंग हैं।
"The branches are fragile and drooping, with a feathery foliage.",शाखाएं एक पंख वाले पत्ते के साथ नाजुक और डूपिंग हैं।
Moringa.,मोरिंगा।
leaves.,पत्ते।
are.,हैं।
alternate.,एकांतर।
Moringa.,मोरिंगा।
Moringa leaves.,मोरिंगा पत्तियां।
Moringa leaves are.,मोरिंगा पत्तियां हैं।
Moringa leaves are alternate.,मोरिंगा पत्तियां वैकल्पिक हैं।
The.,।
flowers.,फूल।
are.,हैं।
7,७
to.,प्रति।
14,१४
millimeter.,मिलीमीटर
long.,लंबा।
The.,।
The flowers.,फूल।
The flowers are.,फूल हैं।
The flowers are 7.,फूल ७ हैं।
The flowers are 7 to.,फूल ७ से हैं।
The flowers are 7 to 14.,फूल ७ से १४ हैं।
The flowers are 7 to 14 millimeter.,फूल ७ से १४ मिलीमीटर हैं।
The flowers are 7 to 14 millimeter long.,फूल ७ से १४ मिलीमीटर लंबे हैं।
The.,।
fruit.,फल।
is.,है।
referred.,निर्दिष्ट।
to.,प्रति।
as.,जैसा।
a.,ए।
â€œpodâ€.,"""पीओडी"""
and.,तथा।
is.,है।
10,१०
to.,प्रति।
60,६०
centimeters.,सेंटीमीटर।
in.,में।
length.,लंबाई।
The.,।
The fruit.,फल।
The fruit is.,फल है।
The fruit is referred.,फल को संदर्भित किया जाता है।
The fruit is referred to.,फल को संदर्भित किया जाता है।
The fruit is referred to as.,फल को संदर्भित किया जाता है।
The fruit is referred to as a.,फल को एक के रूप में जाना जाता है।
The fruit is referred to as a â€œpodâ€.,"फल को एक ""पीओडी"" के रूप में जाना जाता है।"
The fruit is referred to as a â€œpodâ€ and.,"फल को एक ""पीओडी"" और के रूप में जाना जाता है।"
The fruit is referred to as a â€œpodâ€ and is.,"फल को ""पीओडी"" के रूप में जाना जाता है और है।"
The fruit is referred to as a â€œpodâ€ and is 10.,"फल को ए ""पीओडी"" के रूप में जाना जाता है और १० है।"
The fruit is referred to as a â€œpodâ€ and is 10 to.,"फल को एक ""पीओडी"" के रूप में जाना जाता है और १० है।"
The fruit is referred to as a â€œpodâ€ and is 10 to 60.,"फल को एक ""पीओडी"" के रूप में जाना जाता है और १० से ६० है।"
The fruit is referred to as a â€œpodâ€ and is 10 to 60 centimeters.,"फल को एक ""पीओडी"" के रूप में जाना जाता है और १० से ६० सेंटीमीटर है।"
The fruit is referred to as a â€œpodâ€ and is 10 to 60 centimeters in.,"फल को ""पीओडी"" के रूप में जाना जाता है और इसमें १० से ६० सेंटीमीटर है।"
The fruit is referred to as a â€œpodâ€ and is 10 to 60 centimeters in length.,"फल को एक ""पीओडी"" के रूप में जाना जाता है और लंबाई में १० से ६० सेंटीमीटर है।"
It.,यह।
looks.,लग रहा है।
like.,पसंद।
a.,ए।
"drumstick,.","ढोल का छड़ी,।"
hence.,इसलिए।
the.,।
name.,नाम।
â€œdrumstick.,"""ड्रमस्टिक"
treeâ€.,"वृक्ष ""।"
It.,यह।
It looks.,यह लग रहा है।
It looks like.,ऐसा लग रहा है।
It looks like a.,यह एक तरह लग रहा है।
"It looks like a drumstick,.",यह एक ड्रमस्टिक की तरह दिखता है।
"It looks like a drumstick, hence.","यह एक ड्रमस्टिक की तरह दिखता है, इसलिए।"
"It looks like a drumstick, hence the.","यह एक ड्रमस्टिक की तरह दिखता है, इसलिए।"
"It looks like a drumstick, hence the name.","यह एक ड्रमस्टिक की तरह दिखता है, इसलिए नाम।"
"It looks like a drumstick, hence the name â€œdrumstick.","यह एक ड्रमस्टिक की तरह दिखता है, इसलिए नाम ""ड्रमस्टिक।"
"It looks like a drumstick, hence the name â€œdrumstick treeâ€.","यह एक ड्रमस्टिक की तरह दिखता है, इसलिए नाम ""ड्रमस्टिक ट्री"" नाम।"
The.,।
fruit.,फल।
is.,है।
green.,हरा।
when.,कब।
young.,युवा।
and.,तथा।
turns.,मुड़ता है।
brown.,भूरा।
at.,पर।
maturity.,परिपक्वता।
The.,।
The fruit.,फल।
The fruit is.,फल है।
The fruit is green.,फल हरा है।
The fruit is green when.,फल हरा है जब।
The fruit is green when young.,फल हरा होता है जब युवा।
The fruit is green when young and.,युवा और जब फल हरा है और।
The fruit is green when young and turns.,जब युवा और मोड़ते हैं तो फल हरा होता है।
The fruit is green when young and turns brown.,फल तब हरा होता है जब युवा और भूरा हो जाता है।
The fruit is green when young and turns brown at.,फल हरा होता है जब युवा और भूरा हो जाता है।
The fruit is green when young and turns brown at maturity.,फल हरा होता है जब युवा और परिपक्वता पर भूरा हो जाता है।
The.,।
mature.,परिपक्व।
fruit.,फल।
splits.,विभाजन।
open.,खुला हुआ।
along.,साथ में।
each.,प्रत्येक।
angle.,कोण।
to.,प्रति।
expose.,अनावृत करना।
the.,।
seeds.,बीज।
The.,।
The mature.,परिपक्व।
The mature fruit.,परिपक्व फल।
The mature fruit splits.,परिपक्व फल विभाजित।
The mature fruit splits open.,परिपक्व फल खुला रहता है।
The mature fruit splits open along.,परिपक्व फल साथ खुला रहता है।
The mature fruit splits open along each.,परिपक्व फल प्रत्येक के साथ खुलता है।
The mature fruit splits open along each angle.,परिपक्व फल प्रत्येक कोण के साथ खुलता है।
The mature fruit splits open along each angle to.,परिपक्व फल प्रत्येक कोण के साथ खुला रहता है।
The mature fruit splits open along each angle to expose.,परिपक्व फल उजागर करने के लिए प्रत्येक कोण के साथ खुलता है।
The mature fruit splits open along each angle to expose the.,परिपक्व फल प्रत्येक कोण के साथ खुलासा करने के लिए खुला रहता है।
The mature fruit splits open along each angle to expose the seeds.,बीजों को बेनकाब करने के लिए परिपक्व फल प्रत्येक कोण के साथ खुला रहता है।
The.,।
capsule.,कैप्सूल।
contains.,शामिल है।
15,१५
to.,प्रति।
20,२०
rounded.,गोल।
oily.,तैलीय।
seeds.,बीज।
The.,।
The capsule.,कैप्सूल।
The capsule contains.,कैप्सूल में शामिल हैं।
The capsule contains 15.,कैप्सूल में १५ शामिल हैं।
The capsule contains 15 to.,कैप्सूल में १५ में शामिल हैं।
The capsule contains 15 to 20.,कैप्सूल में १५ से २० शामिल हैं।
The capsule contains 15 to 20 rounded.,कैप्सूल में १५ से २० गोल होते हैं।
The capsule contains 15 to 20 rounded oily.,कैप्सूल में १५ से २० गोल तैलीय शामिल है।
The capsule contains 15 to 20 rounded oily seeds.,कैप्सूल में १५ से २० गोल तैलीय बीज होते हैं।
Moringa.,मोरिंगा।
seeds.,बीज।
contain.,शामिल होना।
a.,ए।
large.,विशाल।
amount.,रकम।
of.,का।
oil.,तेल।
Moringa.,मोरिंगा।
Moringa seeds.,मोरिंगा बीज।
Moringa seeds contain.,मोरिंगा के बीज होते हैं।
Moringa seeds contain a.,मोरिंगा के बीज में ए।
Moringa seeds contain a large.,मोरिंगा के बीज में एक बड़ा होता है।
Moringa seeds contain a large amount.,मोरिंगा के बीज में एक बड़ी राशि होती है।
Moringa seeds contain a large amount of.,मोरिंगा के बीज में बड़ी मात्रा होती है।
Moringa seeds contain a large amount of oil.,मोरिंगा के बीज में बड़ी मात्रा में तेल होता है।
The.,।
oil.,तेल।
contains.,शामिल है।
cosmetic.,प्रसाधन सामग्री।
value.,मूल्य।
The.,।
The oil.,तैल।
The oil contains.,तेल में शामिल हैं।
The oil contains cosmetic.,तेल में कॉस्मेटिक होता है।
The oil contains cosmetic value.,तेल में कॉस्मेटिक मूल्य होता है।
Its.,इसका।
oil.,तेल।
is.,है।
used.,उपयोग किया गया।
in.,में।
the.,।
perfume.,इत्र।
"industry,.","उद्योग,"
as.,जैसा।
it.,यह।
readily.,आसानी से।
retains.,बरकरार।
fragrance.,सुगंध।
Its.,इसका।
Its oil.,इसका तेल।
Its oil is.,इसका तेल है।
Its oil is used.,इसका तेल उपयोग किया जाता है।
Its oil is used in.,इसका तेल उपयोग में है।
Its oil is used in the.,इसका तेल का उपयोग किया जाता है।
Its oil is used in the perfume.,इसका तेल इत्र में उपयोग किया जाता है।
"Its oil is used in the perfume industry,.",इसका तेल इत्र उद्योग में प्रयोग किया जाता है।
"Its oil is used in the perfume industry, as.",इसका तेल इत्र उद्योग में प्रयोग किया जाता है।
"Its oil is used in the perfume industry, as it.",इसका तेल इत्र उद्योग में इसका उपयोग किया जाता है।
"Its oil is used in the perfume industry, as it readily.","इसका तेल इत्र उद्योग में उपयोग किया जाता है, जैसा कि इसे आसानी से।"
"Its oil is used in the perfume industry, as it readily retains.","इसके तेल का उपयोग इत्र उद्योग में किया जाता है, क्योंकि यह आसानी से बरकरार रहता है।"
"Its oil is used in the perfume industry, as it readily retains fragrance.","इसका तेल इत्र उद्योग में उपयोग किया जाता है, क्योंकि यह आसानी से सुगंध को बरकरार रखता है।"
Products.,उत्पाद।
are.,हैं।
made.,बनाया।
from.,से।
the.,।
leaf.,पत्ता।
"powder,.","पाउडर,"
"soaps,.","साबुन,।"
face.,चेहरा।
"wash,.",धोएं।
"tea,.","चाय,।"
capsules.,कैप्सूल।
and.,तथा।
tablets.,गोलियाँ।
Products.,उत्पाद।
Products are.,उत्पाद हैं।
Products are made.,उत्पाद बने हैं।
Products are made from.,उत्पाद से बने हैं।
Products are made from the.,उत्पाद से बने हैं।
Products are made from the leaf.,उत्पाद पत्ती से बने होते हैं।
"Products are made from the leaf powder,.",उत्पाद पत्ती पाउडर से बने होते हैं।
"Products are made from the leaf powder, soaps,.","उत्पाद पत्ती पाउडर, साबुन से बने होते हैं।"
"Products are made from the leaf powder, soaps, face.","उत्पाद पत्ती पाउडर, साबुन, चेहरे से बने होते हैं।"
"Products are made from the leaf powder, soaps, face wash,.","उत्पाद पत्ती पाउडर, साबुन, चेहरे धोने से बने होते हैं।"
"Products are made from the leaf powder, soaps, face wash, tea,.","उत्पाद पत्ती पाउडर, साबुन, चेहरे धोने, चाय से बने होते हैं।"
"Products are made from the leaf powder, soaps, face wash, tea, capsules.","उत्पाद पत्ती पाउडर, साबुन, चेहरे धोने, चाय, कैप्सूल से बने होते हैं।"
"Products are made from the leaf powder, soaps, face wash, tea, capsules and.","उत्पाद पत्ती पाउडर, साबुन, चेहरे धोने, चाय, कैप्सूल और से बने होते हैं।"
"Products are made from the leaf powder, soaps, face wash, tea, capsules and tablets.","उत्पाद पत्ती पाउडर, साबुन, चेहरे धोने, चाय, कैप्सूल और टैबलेट से बने होते हैं।"
All.,सभी।
the.,।
parts.,भागों।
of.,का।
this.,यह।
plant.,पौधा।
contain.,शामिल होना।
rich.,धनी।
minerals.,खनिज।
and.,तथा।
vitamins.,विटामिन
All.,सभी।
All the.,आल थे।
All the parts.,सभी भागों।
All the parts of.,के सभी भागों।
All the parts of this.,इस के सभी भाग।
All the parts of this plant.,इस पौधे के सभी हिस्सों।
All the parts of this plant contain.,इस पौधे के सभी हिस्सों में शामिल हैं।
All the parts of this plant contain rich.,इस पौधे के सभी हिस्सों में समृद्ध होता है।
All the parts of this plant contain rich minerals.,इस पौधे के सभी हिस्सों में समृद्ध खनिज होते हैं।
All the parts of this plant contain rich minerals and.,इस पौधे के सभी हिस्सों में समृद्ध खनिज और शामिल हैं।
All the parts of this plant contain rich minerals and vitamins.,इस पौधे के सभी हिस्सों में समृद्ध खनिज और विटामिन होते हैं।
The.,।
leaves.,पत्ते।
have.,पास होना।
7,७
times.,बार।
more.,अधिक।
vitamin.,विटामिन।
C.,सी।
The.,।
The leaves.,पत्तियां।
The leaves have.,पत्तियों के पास है।
The leaves have 7.,पत्तियों में ७ है।
The leaves have 7 times.,पत्तियों में ७ बार होता है।
The leaves have 7 times more.,पत्तियों में ७ गुना अधिक होता है।
The leaves have 7 times more vitamin.,पत्तियों में ७ गुना अधिक विटामिन होता है।
The leaves have 7 times more vitamin C.,पत्तियों में ७ गुना अधिक विटामिन सी है।
15,१५
times.,बार।
more.,अधिक।
potassium.,पोटैशियम।
than.,से।
bananas.,केले।
15,१५
15 times.,१५ बार।
15 times more.,१५ गुना अधिक।
15 times more potassium.,१५ गुना अधिक पोटेशियम।
15 times more potassium than.,से १५ गुना अधिक पोटेशियम।
15 times more potassium than bananas.,केले की तुलना में १५ गुना अधिक पोटेशियम।
It.,यह।
also.,भी।
has.,है।
"calcium,.","कैल्शियम,।"
"protein,.","प्रोटीन,"
"iron,.","लोहा,।"
and.,तथा।
amino.,अमीनो।
acids.,एसिड।
It.,यह।
It also.,यह भी।
It also has.,इसमें यह भी है।
"It also has calcium,.",इसमें कैल्शियम भी है।
"It also has calcium, protein,.","इसमें कैल्शियम, प्रोटीन भी है।"
"It also has calcium, protein, iron,.","इसमें कैल्शियम, प्रोटीन, लोहा भी है।"
"It also has calcium, protein, iron, and.","इसमें कैल्शियम, प्रोटीन, लौह, और भी है।"
"It also has calcium, protein, iron, and amino.","इसमें कैल्शियम, प्रोटीन, लौह, और एमिनो भी है।"
"It also has calcium, protein, iron, and amino acids.","इसमें कैल्शियम, प्रोटीन, लौह, और एमिनो एसिड भी हैं।"
It.,यह।
helps.,मदद करता है।
heal.,ठीक होना।
the.,।
body.,तन।
and.,तथा।
build.,निर्माण।
muscle.,मांसपेशी।
It.,यह।
It helps.,यह मदद करता है।
It helps heal.,यह चंगा करने में मदद करता है।
It helps heal the.,यह ठीक करने में मदद करता है।
It helps heal the body.,यह शरीर को ठीक करने में मदद करता है।
It helps heal the body and.,यह शरीर को ठीक करने में मदद करता है और।
It helps heal the body and build.,यह शरीर को ठीक करने और निर्माण में मदद करता है।
It helps heal the body and build muscle.,यह शरीर को ठीक करने और मांसपेशियों का निर्माण करने में मदद करता है।
It.,यह।
is.,है।
packed.,पैक किया गया।
with.,साथ।
antioxidants.,एंटीऑक्सिडेंट्स।
It.,यह।
It is.,यह है।
It is packed.,यह पैक किया गया है।
It is packed with.,यह पैक किया जाता है।
It is packed with antioxidants.,यह एंटीऑक्सीडेंट के साथ पैक किया जाता है।
It.,यह।
can.,कर सकते हैं।
protect.,रक्षा करना।
cells.,कोशिकाएं।
from.,से।
damage.,क्षति।
and.,तथा।
may.,मई।
boost.,बढ़ावा।
the.,।
immune.,प्रतिरक्षा।
system.,प्रणाली।
It.,यह।
It can.,यह।
It can protect.,यह रक्षा कर सकते हैं।
It can protect cells.,यह कोशिकाओं की रक्षा कर सकते हैं।
It can protect cells from.,यह कोशिकाओं की रक्षा कर सकते हैं।
It can protect cells from damage.,यह कोशिकाओं को क्षति से बचा सकता है।
It can protect cells from damage and.,यह कोशिकाओं को नुकसान से बचा सकता है और।
It can protect cells from damage and may.,यह कोशिकाओं को क्षति और मई से बचा सकता है।
It can protect cells from damage and may boost.,यह कोशिकाओं को क्षति से बचा सकता है और बढ़ावा दे सकता है।
It can protect cells from damage and may boost the.,यह कोशिकाओं को क्षति से बचा सकता है और बढ़ावा दे सकता है।
It can protect cells from damage and may boost the immune.,यह कोशिकाओं को क्षति से बचा सकता है और प्रतिरक्षा को बढ़ावा दे सकता है।
It can protect cells from damage and may boost the immune system.,यह कोशिकाओं को क्षति से बचा सकता है और प्रतिरक्षा प्रणाली को बढ़ावा दे सकता है।
It.,यह।
decreases.,घटता है।
imbalanced.,असंतुलित।
kapha.,कफ।
and.,तथा।
vata.,वता।
It.,यह।
It decreases.,यह घटता है।
It decreases imbalanced.,यह असंतुलित घटता है।
It decreases imbalanced kapha.,यह असंतुलित कफ को कम करता है।
It decreases imbalanced kapha and.,यह असंतुलित कफ और घटता है।
It decreases imbalanced kapha and vata.,यह असंतुलित कफ और वाटा को कम करता है।
It.,यह।
increases.,बढ़ती है।
pitta.,पिटा।
and.,तथा।
vitiated.,विचलित।
blood.,रक्त।
It.,यह।
It increases.,यह बढ़ जाता है।
It increases pitta.,यह पिट्टा बढ़ाता है।
It increases pitta and.,यह पिट्टा बढ़ाता है और।
It increases pitta and vitiated.,यह पिट्टा को बढ़ाता है और खराब हो जाता है।
It increases pitta and vitiated blood.,यह पिट्टा बढ़ाता है और रक्त को खराब करता है।
It.,यह।
should.,चाहिए।
not.,नहीं।
be.,होना।
taken.,लिया।
during.,दौरान।
bleeding.,खून बह रहा है।
disorders.,विकार।
and.,तथा।
menstruation.,मासिक धर्म।
It.,यह।
It should.,यह होना चाहिए।
It should not.,यह नहीं होना चाहिए।
It should not be.,यह नहीं होना चाहिए।
It should not be taken.,यह नहीं लिया जाना चाहिए।
It should not be taken during.,इसे नहीं लिया जाना चाहिए।
It should not be taken during bleeding.,इसे रक्तस्राव के दौरान नहीं लिया जाना चाहिए।
It should not be taken during bleeding disorders.,इसे रक्तस्राव विकारों के दौरान नहीं लिया जाना चाहिए।
It should not be taken during bleeding disorders and.,इसे रक्तस्राव विकारों के दौरान नहीं लिया जाना चाहिए और।
It should not be taken during bleeding disorders and menstruation.,इसे रक्तस्राव विकारों और मासिक धर्म के दौरान नहीं लिया जाना चाहिए।
People.,लोग।
who.,कॉन।
have.,पास होना।
pitta.,पिटा।
related.,सम्बंधित।
skin.,त्वचा।
diseases.,रोग।
shouldnâ€™t.,नहीं करना चाहिए।
consume.,उपभोग करना।
this.,यह।
plant.,पौधा।
People.,लोग।
People who.,वे लोग जो।
People who have.,लोग जिनके पास है।
People who have pitta.,जिन लोगों के पास पिट्टा है।
People who have pitta related.,जिन लोगों से पिट्टा संबंधित है।
People who have pitta related skin.,जिन लोगों में पिट्टा से संबंधित त्वचा है।
People who have pitta related skin diseases.,जिन लोगों के पास पिट्टा से संबंधित त्वचा रोग हैं।
People who have pitta related skin diseases shouldnâ€™t.,"जिन लोगों को पिट्टा से संबंधित त्वचा रोग नहीं हैं, वे नहीं चाहते हैं।"
People who have pitta related skin diseases shouldnâ€™t consume.,"जिन लोगों को पिट्टा से संबंधित त्वचा रोग नहीं हैं, वे उपभोग नहीं करते हैं।"
People who have pitta related skin diseases shouldnâ€™t consume this.,"जिन लोगों में पिट्टा से संबंधित त्वचा रोग नहीं हैं, वे इसका उपभोग नहीं करते हैं।"
People who have pitta related skin diseases shouldnâ€™t consume this plant.,"जिन लोगों को पिट्टा से संबंधित त्वचा रोग नहीं हैं, वे इस पौधे का उपभोग नहीं करते हैं।"
During.,दौरान।
the.,।
Middle.,मध्यम।
"Ages,.","उम्र,"
it.,यह।
used.,उपयोग किया गया।
to.,प्रति।
provide.,प्रदान करें।
rhythm.,ताल।
to.,प्रति।
musical.,संगीत।
performances.,प्रदर्शन।
During.,दौरान।
During the.,दौरान।
During the Middle.,बीच के दौरान।
"During the Middle Ages,.","मध्य युग के दौरान,।"
"During the Middle Ages, it.","मध्य युग के दौरान, यह।"
"During the Middle Ages, it used.","मध्य युग के दौरान, यह इस्तेमाल किया।"
"During the Middle Ages, it used to.","मध्य युग के दौरान, यह करता था।"
"During the Middle Ages, it used to provide.","मध्य युग के दौरान, यह प्रदान करता था।"
"During the Middle Ages, it used to provide rhythm.","मध्य युग के दौरान, यह लय प्रदान करता था।"
"During the Middle Ages, it used to provide rhythm to.","मध्य युग के दौरान, यह लय प्रदान करता था।"
"During the Middle Ages, it used to provide rhythm to musical.","मध्य युग के दौरान, यह संगीत को लय प्रदान करता था।"
"During the Middle Ages, it used to provide rhythm to musical performances.","मध्य युग के दौरान, यह संगीत प्रदर्शन के लिए लय प्रदान करता था।"
Drumsticks.,ड्रमस्टिक।
made.,बनाया।
their.,उनका।
first.,प्रथम।
noted.,नोट किया गया।
appearance.,दिखावट।
in.,में।
the.,।
7th.,७ वां।
century.,सदी।
in.,में।
Asia.,एशिया।
Drumsticks.,ड्रमस्टिक।
Drumsticks made.,ड्रमस्टिक्स बनाया।
Drumsticks made their.,ड्रमस्टिक्स ने अपना किया।
Drumsticks made their first.,ड्रमस्टिक ने अपना पहला बना दिया।
Drumsticks made their first noted.,ड्रमस्टिक्स ने अपना पहला नोट किया।
Drumsticks made their first noted appearance.,ड्रमस्टिक्स ने अपनी पहली उपस्थिति बनाई।
Drumsticks made their first noted appearance in.,ड्रमस्टिक्स ने अपनी पहली निस्संदेह उपस्थिति बनाई।
Drumsticks made their first noted appearance in the.,ड्रमस्टिक्स ने अपनी पहली नजरिया उपस्थिति बनाई।
Drumsticks made their first noted appearance in the 7th.,ड्रमस्टिक्स ने ७ वीं में अपनी पहली सूचना दी।
Drumsticks made their first noted appearance in the 7th century.,ड्रमस्टिक्स ने ७ वीं शताब्दी में अपनी पहली प्रसिद्ध उपस्थिति बनाई।
Drumsticks made their first noted appearance in the 7th century in.,ड्रमस्टिक ने ७ वीं शताब्दी में अपनी पहली उपस्थिति बनाई।
Drumsticks made their first noted appearance in the 7th century in Asia.,ड्रमस्टिक ने ७ वीं शताब्दी में एशिया में अपनी पहली उपस्थिति बनाई।
It.,यह।
now.,अभी।
grows.,उगता है।
in.,में।
the.,।
wild.,जंगली।
or.,या।
is.,है।
cultivated.,खेती की।
in.,में।
"America,.","अमेरिका,"
Asia.,एशिया।
and.,तथा।
various.,विभिन्न।
countries.,देश।
of.,का।
Oceania.,ओशिनिया।
It.,यह।
It now.,अब।
It now grows.,यह अब बढ़ता है।
It now grows in.,यह अब बढ़ता है।
It now grows in the.,यह अब बढ़ता है।
It now grows in the wild.,यह अब जंगली में बढ़ता है।
It now grows in the wild or.,यह अब जंगली में बढ़ता है या।
It now grows in the wild or is.,यह अब जंगली में बढ़ता है या है।
It now grows in the wild or is cultivated.,यह अब जंगली में बढ़ता है या खेती की जाती है।
It now grows in the wild or is cultivated in.,यह अब जंगली में बढ़ता है या खेती की जाती है।
"It now grows in the wild or is cultivated in America,.",यह अब जंगली में बढ़ता है या अमेरिका में खेती की जाती है।
"It now grows in the wild or is cultivated in America, Asia.","यह अब जंगली में बढ़ता है या अमेरिका, एशिया में खेती की जाती है।"
"It now grows in the wild or is cultivated in America, Asia and.","यह अब जंगली में बढ़ता है या अमेरिका, एशिया में खेती की जाती है और।"
"It now grows in the wild or is cultivated in America, Asia and various.","यह अब जंगली में बढ़ता है या अमेरिका, एशिया और विभिन्न में खेती की जाती है।"
"It now grows in the wild or is cultivated in America, Asia and various countries.","यह अब जंगली में बढ़ता है या अमेरिका, एशिया और विभिन्न देशों में खेती की जाती है।"
"It now grows in the wild or is cultivated in America, Asia and various countries of.","यह अब जंगली में बढ़ता है या अमेरिका, एशिया और विभिन्न देशों में खेती की जाती है।"
"It now grows in the wild or is cultivated in America, Asia and various countries of Oceania.","यह अब जंगली में बढ़ता है या अमेरिका, एशिया और ओशिनिया के विभिन्न देशों में खेती की जाती है।"
Muntingia.,मुनिंगिया।
Calabura.,कैलाबुरा
Muntingia.,मुनिंगिया।
Muntingia Calabura.,मुनिंगिया कैलाबुरा।
Jamaica.,जमैका
cherry.,चेरी।
Jamaica.,जमैका
Jamaica cherry.,जमैका चेरी
Kewni.,केवलनी।
Kewni.,केवलनी।
Paanchara.,पंचारा।
Paanchara.,पंचारा।
Gasagase.,गैसगेज।
hanninamara.,हनिनामारा।
Gasagase.,गैसगेज।
Gasagase hanninamara.,गैसगेज हनिनामारा।
Muntingiaceae.,मंटिंगियासी।
Muntingiaceae.,मंटिंगियासी।
(blank).,(रिक्त)।
(blank).,(रिक्त)।
It.,यह।
is.,है।
a.,ए।
fast.,तेज।
growing.,बढ़ रही है।
tree.,पेड़।
and.,तथा।
has.,है।
branches.,शाखाएं।
that.,वह।
are.,हैं।
spreading.,फैल रहा है।
horizontally.,क्षैतिज रूप से।
It.,यह।
It is.,यह है।
It is a.,यह है एक।
It is a fast.,यह एक तेज़ है।
It is a fast growing.,यह तेजी से बढ़ रहा है।
